geography,bounds,xlat,xlon,day_count,source_rows,activity_sum,activity_mean_per_day,activity_min,activity_max
021230030220002033,"-122.33963012695312, 47.62467785241324, -122.3382568359375, 47.62560342075481",47.62514,-122.33894,31,31,24.456132,0.788907,0.377445,1.228140
021230030202221311,"-122.32315063476562, 47.645961778000455, -122.32177734375, 47.646886969412996",47.64642,-122.32246,31,31,24.438834,0.788349,0.422586,1.246510
021230030220022013,"-122.33963012695312, 47.61171817478493, -122.3382568359375, 47.61264397257417",47.61218,-122.33894,31,31,24.393427,0.786885,0.428952,1.244989
021230030220020322,"-122.3382568359375, 47.61356975397396, -122.33688354492188, 47.61449551898437",47.61403,-122.33757,31,31,24.352917,0.785578,0.364689,1.348972
021230030220003030,"-122.33001708984375, 47.62560342075481, -122.32864379882812, 47.62652897270761",47.62607,-122.32933,31,31,24.336750,0.785056,0.341170,1.303894
021230030220003032,"-122.33001708984375, 47.62467785241324, -122.32864379882812, 47.62560342075481",47.62514,-122.32933,31,31,24.236591,0.781826,0.297664,1.254045
021230030221120333,"-122.20230102539062, 47.61356975397396, -122.200927734375, 47.61449551898437",47.61403,-122.20161,31,31,24.231167,0.781651,0.307117,1.245022
021230030202201131,"-122.32315063476562, 47.662612716158655, -122.32177734375, 47.66353761260135",47.66308,-122.32246,31,31,24.230892,0.781642,0.352536,1.316637
021230030220022101,"-122.33688354492188, 47.61264397257417, -122.33551025390625, 47.61356975397396",47.61311,-122.33620,31,31,24.110107,0.777745,0.255618,1.269711
021230030220001112,"-122.32452392578125, 47.63393279834071, -122.32315063476562, 47.63485820279691",47.63440,-122.32384,30,30,24.107539,0.803585,0.304327,1.222149
021230030202012222,"-122.32177734375, 47.680182946484145, -122.32040405273438, 47.68110753158711",47.68065,-122.32109,31,31,24.092190,0.777167,0.285476,1.166820
021230030202023331,"-122.32315063476562, 47.66631220360915, -122.32177734375, 47.667237034505156",47.66677,-122.32246,31,31,24.067652,0.776376,0.446528,1.272377
021230030220232021,"-122.32040405273438, 47.58115765295146, -122.31903076171875, 47.5820839916191",47.58162,-122.31972,31,31,23.970608,0.773245,0.463242,1.077076
021230030220212222,"-122.32177734375, 47.5913464767971, -122.32040405273438, 47.59227263516611",47.59181,-122.32109,31,31,23.847246,0.769266,0.327266,1.096292
021230030220231100,"-122.3052978515625, 47.59042030203754, -122.30392456054688, 47.5913464767971",47.59088,-122.30461,31,31,23.830544,0.768727,0.350184,1.158314
021230030222032312,"-122.31353759765625, 47.54872547286773, -122.31216430664062, 47.549652385251264",47.54919,-122.31285,31,31,23.752114,0.766197,0.330739,1.281474
021230030220200110,"-122.33551025390625, 47.6052371313521, -122.33413696289062, 47.60616304386873",47.60570,-122.33482,31,32,23.737664,0.765731,0.174520,1.262444
021230030202201113,"-122.32315063476562, 47.66353761260135, -122.32177734375, 47.66446249265729",47.66400,-122.32246,31,31,23.734304,0.765623,0.326758,1.209307
021230030220201023,"-122.33139038085938, 47.6024592954631, -122.33001708984375, 47.603385257149334",47.60292,-122.33070,31,31,23.732133,0.765553,0.183451,1.762268
021230030220022102,"-122.3382568359375, 47.61171817478493, -122.33688354492188, 47.61264397257417",47.61218,-122.33757,31,31,23.725126,0.765327,0.306522,1.175713
021230021331130130,"-122.35748291015625, 47.61819841513311, -122.35610961914062, 47.619124098197325",47.61866,-122.35680,31,31,23.693366,0.764302,0.303274,1.145823
021230030221310122,"-122.1844482421875, 47.6024592954631, -122.18307495117188, 47.603385257149334",47.60292,-122.18376,31,31,23.676584,0.763761,0.449447,1.163963
021230021331113313,"-122.34512329101562, 47.62282666656367, -122.34375, 47.623752267682875",47.62329,-122.34444,30,30,23.674481,0.789149,0.328978,1.330842
021230030222010201,"-122.32040405273438, 47.57189336475818, -122.31903076171875, 47.572819867338694",47.57236,-122.31972,31,31,23.649287,0.762880,0.322934,1.335741
021230030202223133,"-122.32315063476562, 47.63948497925489, -122.32177734375, 47.640410285382224",47.63995,-122.32246,31,31,23.635204,0.762426,0.390271,1.146554
021230030221132203,"-122.18856811523438, 47.6080148197327, -122.18719482421875, 47.608940683080164",47.60848,-122.18788,31,31,23.623603,0.762052,0.438530,1.224747
021230030202003100,"-122.3272705078125, 47.68665469810476, -122.32589721679688, 47.68757916850813",47.68712,-122.32658,31,31,23.576735,0.760540,0.352143,1.083471
021230030220030002,"-122.32177734375, 47.619124098197325, -122.32040405273438, 47.62004976487242",47.61959,-122.32109,31,31,23.554025,0.759807,0.405086,1.305670
021230030202102312,"-122.29156494140625, 47.68203210030428, -122.29019165039062, 47.68295665263569",47.68249,-122.29088,28,29,23.549486,0.841053,0.056000,1.466774
021230030220022020,"-122.34375, 47.610792360606226, -122.34237670898438, 47.61171817478493",47.61126,-122.34306,31,31,23.522008,0.758774,0.283264,1.303247
021230030220230020,"-122.32177734375, 47.5885679033466, -122.32040405273438, 47.589494110887394",47.58903,-122.32109,31,31,23.454561,0.756599,0.410863,1.187443
021230030222012200,"-122.32177734375, 47.564480754014255, -122.32040405273438, 47.5654073877285",47.56494,-122.32109,31,31,23.419405,0.755465,0.338036,1.165624
021230030220020233,"-122.33963012695312, 47.61356975397396, -122.3382568359375, 47.61449551898437",47.61403,-122.33894,31,31,23.403296,0.754945,0.434189,1.349169
021230030202221131,"-122.32315063476562, 47.647812144437914, -122.32177734375, 47.64873730307524",47.64827,-122.32246,31,31,23.271502,0.750694,0.334862,1.259648
021230030220022112,"-122.33551025390625, 47.61171817478493, -122.33413696289062, 47.61264397257417",47.61218,-122.33482,31,31,23.231815,0.749413,0.507997,1.124063
021230030220232003,"-122.32040405273438, 47.5820839916191, -122.31903076171875, 47.58301031389572",47.58255,-122.31972,31,31,23.221602,0.749084,0.393893,1.203458
021230030220022022,"-122.34375, 47.60986653003798, -122.34237670898438, 47.610792360606226",47.61033,-122.34306,31,31,23.169745,0.747411,0.273854,1.289486
021230030220002201,"-122.34237670898438, 47.623752267682875, -122.34100341796875, 47.62467785241324",47.62422,-122.34169,31,31,23.122001,0.745871,0.411643,1.002300
